iter	Logloss
0	0.464679306
1	0.3402726288
2	0.2596627235
3	0.2073258457
4	0.1721198902
5	0.1465027866
6	0.128030714
7	0.1132711058
8	0.1001617489
9	0.09093049431
10	0.08387591362
11	0.07760449696
12	0.07264057827
13	0.06853583908
14	0.06519841862
15	0.06185117674
16	0.05909318781
17	0.05692046785
18	0.05465110588
19	0.0527448554
20	0.05070240402
21	0.04916915703
22	0.04811324167
23	0.04672859192
24	0.04548334789
25	0.04466247511
26	0.04335969925
27	0.04237607479
28	0.04129267597
29	0.04032752037
30	0.03978599358
31	0.03908754873
32	0.03807632494
33	0.03715785503
34	0.03639317465
35	0.03578141212
36	0.0352503581
37	0.03450031137
38	0.03410487032
39	0.03335077548
40	0.03302554083
41	0.03247859287
42	0.03209544277
43	0.03171128511
44	0.03128839517
45	0.0309347682
46	0.03046788979
47	0.03018773103
48	0.0299381361
49	0.02945382023
50	0.02898141098
51	0.02847689939
52	0.02824931288
53	0.02788839197
54	0.02761214876
55	0.02724877501
56	0.02712998176
57	0.02693066835
58	0.0267599299
59	0.02648351598
60	0.02604512095
61	0.0256471076
62	0.02538742185
63	0.02516023874
64	0.02499979401
65	0.02472182512
66	0.02449813342
67	0.02425168848
68	0.02409097385
69	0.02373811173
70	0.02358179593
71	0.02348056102
72	0.02337521887
73	0.02316325808
74	0.02304072905
75	0.02297008514
76	0.02280002546
77	0.0226252234
78	0.02250544786
79	0.02231450987
80	0.02222122979
81	0.02197643924
82	0.02187586117
83	0.02174604821
84	0.02159688544
85	0.02140949726
86	0.0213303628
87	0.02114620352
88	0.02100835371
89	0.02094206023
90	0.02078781271
91	0.02057380557
92	0.020497329
93	0.02033454752
94	0.0202897861
95	0.02016836786
96	0.02010978389
97	0.01996636963
98	0.01987971568
99	0.01979052949
